stim,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials_task.thisRepN,trials_task.thisTrialN,trials_task.thisN,trials_task.thisIndex,instr_text.started,instr_text.stopped,fix.started,fix.stopped,grating.started,grating.stopped,triplets.started,triplets.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,task_instruct.started,task_instruct.stopped,fix_2.started,fix_2.stopped,grating_2.started,grating_2.stopped,triplets_2.started,triplets_2.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.started,key_resp_4.stopped,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
232,0,0,0,0,,,,,7.783347499993397,None,9.347166000021389,9.854411200009054,9.347166000021389,9.854411200009054,9.837697500013746,None,right,1,0.7978101000189781,9.837697500013746,None,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
003,0,1,1,1,,,,,,,13.253554499999154,13.75437460001558,13.253554499999154,13.75437460001558,13.75437460001558,None,right,1,0.7215999999898486,13.75437460001558,None,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
003,0,2,2,2,,,,,,,17.236851800000295,17.737628500006394,17.236851800000295,17.737628500006394,17.737628500006394,None,left,0,0.6103763999999501,17.737628500006394,None,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
003,0,3,3,3,,,,,,,21.22032439999748,21.7209572000138,21.22032439999748,21.7209572000138,21.7209572000138,20.736789300019154,None,0,,21.7209572000138,20.736789300019154,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
003,0,4,4,4,,,,,,,25.203493700013496,25.704360700008692,25.203493700013496,25.704360700008692,25.704360700008692,24.720163000019966,None,0,,25.704360700008692,24.720163000019966,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
211,0,5,5,5,,,,,,,29.203601600020193,29.704336399998283,29.203601600020193,29.704336399998283,29.704336399998283,28.705774400004884,None,0,,29.704336399998283,28.705774400004884,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
131,0,6,6,6,,,,,,,33.18686810001964,33.68760860001203,33.18686810001964,33.68760860001203,33.68760860001203,32.70341940000071,None,0,,33.68760860001203,32.70341940000071,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
322,0,7,7,7,,,,,,,37.17029850001563,37.67106090000016,37.17029850001563,37.67106090000016,37.67106090000016,36.68668100002105,None,0,,37.67106090000016,36.68668100002105,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
020,0,8,8,8,,,,,,,41.15370759999496,41.65445460000774,41.15370759999496,41.65445460000774,41.65445460000774,40.67022719999659,None,0,,41.65445460000774,40.67022719999659,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
322,0,9,9,9,,,,,,,45.13694019999821,45.63765240000794,45.13694019999821,45.63765240000794,45.63765240000794,44.65347069999552,None,0,,45.63765240000794,44.65347069999552,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
