stim,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials_task.thisRepN,trials_task.thisTrialN,trials_task.thisN,trials_task.thisIndex,instr_text.started,instr_text.stopped,fix.started,fix.stopped,grating.started,grating.stopped,triplets.started,triplets.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,task_instruct.started,task_instruct.stopped,participant,session,date,expName,psychopyVersion,frameRate,
232,0,0,0,0,,,,,7.105606199998874,None,10.033996500016656,10.541741900000488,10.033996500016656,10.541741900000488,10.525059300009161,None,None,0,10.525059300009161,None,,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
003,0,1,1,1,,,,,,,13.9409200999944,14.441656800016062,13.9409200999944,14.441656800016062,14.441656800016062,None,right,1,14.441656800016062,None,1.0839422999997623,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
100,0,2,2,2,,,,,,,17.940967200003797,18.44171980000101,17.940967200003797,18.44171980000101,18.44171980000101,None,left,1,18.44171980000101,None,0.555710899992846,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
100,0,3,3,3,,,,,,,21.92429710002034,22.42501320000156,21.92429710002034,22.42501320000156,22.42501320000156,None,down,0,22.42501320000156,None,1.3882671000028495,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
221,0,4,4,4,,,,,,,25.90808150000521,26.408435499994084,25.90808150000521,26.408435499994084,26.408435499994084,25.424150600010762,left,1,26.408435499994084,25.424150600010762,0.7010566999961156,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
020,0,5,5,5,,,,,,,29.890963200014085,30.391646700009005,29.890963200014085,30.391646700009005,30.391646700009005,29.407399399991846,down,1,30.391646700009005,29.407399399991846,0.7817254999827128,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
003,0,6,6,6,,,,,,,33.87426830001641,34.37498330001836,33.87426830001641,34.37498330001836,34.37498330001836,33.39081909999368,right,1,34.37498330001836,33.39081909999368,0.558216600009473,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
003,0,7,7,7,,,,,,,37.8577043999976,38.35825059999479,37.8577043999976,38.35825059999479,38.35825059999479,37.37418980000075,right,1,38.35825059999479,37.37418980000075,0.4791169000091031,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
332,0,8,8,8,,,,,,,41.84098020000965,42.34170780002023,41.84098020000965,42.34170780002023,42.34170780002023,41.35755830002017,right,0,42.34170780002023,41.35755830002017,0.6875817000109237,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
311,0,9,9,9,,,,,,,45.824258400010876,46.32506999999168,45.824258400010876,46.32506999999168,46.32506999999168,45.34081220001099,right,1,46.32506999999168,45.34081220001099,0.2884689000202343,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
131,0,10,10,10,,,,,,,49.80766510000103,50.30842810001923,49.80766510000103,50.30842810001923,50.30842810001923,49.32412979999208,left,0,50.30842810001923,49.32412979999208,0.43256889999611303,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
003,0,11,11,11,,,,,,,53.79097790000378,54.29173080000328,53.79097790000378,54.29173080000328,54.29173080000328,53.30756620000466,down,0,54.29173080000328,53.30756620000466,0.3376136999868322,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
100,0,12,12,12,,,,,,,57.77433060001931,58.27505530000781,57.77433060001931,58.27505530000781,58.27505530000781,57.290874500002246,right,0,58.27505530000781,57.290874500002246,0.48232469998765737,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
003,0,13,13,13,,,,,,,61.75783020001836,62.25831410000683,61.75783020001836,62.25831410000683,62.25831410000683,61.274256800010335,right,1,62.25831410000683,61.274256800010335,0.5953233999898657,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
233,0,14,14,14,,,,,,,65.74084610000136,66.24171649999334,65.74084610000136,66.24171649999334,66.24171649999334,65.25763969999389,down,1,66.24171649999334,65.25763969999389,0.707721999991918,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
112,0,15,15,15,,,,,,,69.7242107000202,70.22500890001538,69.7242107000202,70.22500890001538,70.22500890001538,69.24081790001947,right,0,70.22500890001538,69.24081790001947,0.5003159000189044,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
100,0,16,16,16,,,,,,,73.70763620000798,74.20837780000875,73.70763620000798,74.20837780000875,74.20837780000875,73.22399860000587,left,1,74.20837780000875,73.22399860000587,0.4370225000020582,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
322,0,17,17,17,,,,,,,77.6908187000081,78.19171869999263,77.6908187000081,78.19171869999263,78.19171869999263,77.20744280001963,right,1,78.19171869999263,77.20744280001963,0.5816363000194542,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
112,0,18,18,18,,,,,,,81.67428120001568,82.17515870000352,81.67428120001568,82.17515870000352,82.17515870000352,81.19080430001486,down,1,82.17515870000352,81.19080430001486,0.6463344999938272,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
233,0,19,19,19,,,,,,,85.65765599999577,86.15842980000889,85.65765599999577,86.15842980000889,86.15842980000889,85.17428920001839,down,1,86.15842980000889,85.17428920001839,0.6149602999794297,,,1,001,2021_Oct_01_1130,MSIT_v2021-1-4_from-scratch,2021.1.4,60.01720093150528,
,,,,,,,,,,,,,,,,,,,,,,89.15783589999774,None,,,,,,,
